round,model,r2_score,weight
1,rf-m,-0.05332498280752442,0.14285714285714285
1,rf-l,-0.0659818466881259,0.14285714285714285
1,knn-m,-0.18570527371469298,0.14285714285714285
1,knn-tuned,-0.18570527371469298,0.14285714285714285
1,svr-rbf,-0.001315073410652201,0.14285714285714285
1,svr-poly,-0.001315073410652201,0.14285714285714285
1,ridge,-0.08801973608670885,0.14285714285714285
1,rf-m,-0.05332498280752442,0.14285714285714285
1,rf-l,-0.0659818466881259,0.14285714285714285
1,knn-m,-0.18570527371469298,0.14285714285714285
1,knn-tuned,-0.18570527371469298,0.14285714285714285
1,svr-rbf,-0.001315073410652201,0.14285714285714285
1,svr-poly,-0.001315073410652201,0.14285714285714285
1,ridge,-0.08801973608670885,0.14285714285714285
2,rf-m,-0.1928385680833612,0.14285714285714285
2,rf-l,-0.15259067003540788,0.14285714285714285
2,knn-m,-0.25460556483539404,0.14285714285714285
2,knn-tuned,-0.25460556483539404,0.14285714285714285
2,svr-rbf,-0.0022579700684776547,0.14285714285714285
2,svr-poly,-0.0022579700684776547,0.14285714285714285
2,ridge,-0.03672813411842275,0.14285714285714285
2,rf-m,-0.1928385680833612,0.14285714285714285
2,rf-l,-0.15259067003540788,0.14285714285714285
2,knn-m,-0.25460556483539404,0.14285714285714285
2,knn-tuned,-0.25460556483539404,0.14285714285714285
2,svr-rbf,-0.0022579700684776547,0.14285714285714285
2,svr-poly,-0.0022579700684776547,0.14285714285714285
2,ridge,-0.03672813411842275,0.14285714285714285
3,rf-m,-0.024070519198927488,0.10452139759110092
3,rf-l,-0.06329995376122777,0.10050046732809267
3,gb-m,-0.07610667643840079,0.09922159229226228
3,gb-l,-0.07649560918085489,0.0991830092698481
3,xgb-m,-0.18484615206617203,0.08899820306203933
3,knn-m,-0.15916863433095846,0.09131304855587054
3,knn-tuned,-0.15916863433095846,0.09131304855587054
3,svr-rbf,0.028828485685822903,0.11019933001329228
3,svr-poly,0.028828485685822903,0.11019933001329228
3,ridge,-0.023791421744662467,0.10455057331833104
3,rf-m,-0.024070519198927488,0.10452139759110092
3,rf-l,-0.06329995376122777,0.10050046732809267
3,gb-m,-0.07610667643840079,0.09922159229226228
3,gb-l,-0.07649560918085489,0.0991830092698481
3,xgb-m,-0.18484615206617203,0.08899820306203933
3,knn-m,-0.15916863433095846,0.09131304855587054
3,knn-tuned,-0.15916863433095846,0.09131304855587054
3,svr-rbf,0.028828485685822903,0.11019933001329228
3,svr-poly,0.028828485685822903,0.11019933001329228
3,ridge,-0.023791421744662467,0.10455057331833104
3,rf-m,-0.024070519198927488,0.10452139759110092
3,rf-l,-0.06329995376122777,0.10050046732809267
3,gb-m,-0.07610667643840079,0.09922159229226228
3,gb-l,-0.07649560918085489,0.0991830092698481
3,xgb-m,-0.18484615206617203,0.08899820306203933
3,knn-m,-0.15916863433095846,0.09131304855587054
3,knn-tuned,-0.15916863433095846,0.09131304855587054
3,svr-rbf,0.028828485685822903,0.11019933001329228
3,svr-poly,0.028828485685822903,0.11019933001329228
3,ridge,-0.023791421744662467,0.10455057331833104
4,rf-m,-0.003059867512763925,0.10523109133433399
4,rf-l,0.005612744087564891,0.10614768861878993
4,gb-m,-0.0057946512471154675,0.10494370021280457
4,gb-l,-0.01008735376167751,0.10449417365919346
4,xgb-m,-0.1447563817941519,0.09132844435803159
4,knn-m,-0.22684146632794566,0.084131176251968
4,knn-tuned,-0.22684146632794566,0.084131176251968
4,svr-rbf,0.021598155583041144,0.10785813779469788
4,svr-poly,0.021598155583041144,0.10785813779469788
4,ridge,-0.0160181539747291,0.10387627372351474
4,rf-m,-0.003059867512763925,0.10523109133433399
4,rf-l,0.005612744087564891,0.10614768861878993
4,gb-m,-0.0057946512471154675,0.10494370021280457
4,gb-l,-0.01008735376167751,0.10449417365919346
4,xgb-m,-0.1447563817941519,0.09132844435803159
4,knn-m,-0.22684146632794566,0.084131176251968
4,knn-tuned,-0.22684146632794566,0.084131176251968
4,svr-rbf,0.021598155583041144,0.10785813779469788
4,svr-poly,0.021598155583041144,0.10785813779469788
4,ridge,-0.0160181539747291,0.10387627372351474
4,rf-m,-0.003059867512763925,0.10523109133433399
4,rf-l,0.005612744087564891,0.10614768861878993
4,gb-m,-0.0057946512471154675,0.10494370021280457
4,gb-l,-0.01008735376167751,0.10449417365919346
4,xgb-m,-0.1447563817941519,0.09132844435803159
4,knn-m,-0.22684146632794566,0.084131176251968
4,knn-tuned,-0.22684146632794566,0.084131176251968
4,svr-rbf,0.021598155583041144,0.10785813779469788
4,svr-poly,0.021598155583041144,0.10785813779469788
4,ridge,-0.0160181539747291,0.10387627372351474
5,rf-tuned-l,0.02254016433340982,0.09660917394450061
5,rf-tuned-xl,0.008368360937812036,0.09524970355164086
5,gb-tuned-l,0.0027283923600209814,0.0947140102831656
5,gb-tuned-xl,0.0027283923600209146,0.0947140102831656
5,xgb-xl,-0.10579155136253204,0.08497371636041101
5,xgb-l,-0.10579155136253204,0.08497371636041101
5,svr-rbf-xl,0.023480939767757024,0.09670010424787145
5,svr-poly-l,0.023480939767757024,0.09670010424787145
5,knn-tuned-sqrt,-0.15487968955175083,0.08090323825956316
5,knn-tuned-l,-0.15487968955175083,0.08090323825956316
5,ridge,-0.00954145627269416,0.09355898420183607
5,rf-tuned-l,0.02254016433340982,0.09660917394450061
5,rf-tuned-xl,0.008368360937812036,0.09524970355164086
5,gb-tuned-l,0.0027283923600209814,0.0947140102831656
5,gb-tuned-xl,0.0027283923600209146,0.0947140102831656
5,xgb-xl,-0.10579155136253204,0.08497371636041101
5,xgb-l,-0.10579155136253204,0.08497371636041101
5,svr-rbf-xl,0.023480939767757024,0.09670010424787145
5,svr-poly-l,0.023480939767757024,0.09670010424787145
5,knn-tuned-sqrt,-0.15487968955175083,0.08090323825956316
5,knn-tuned-l,-0.15487968955175083,0.08090323825956316
5,ridge,-0.00954145627269416,0.09355898420183607
5,rf-tuned-l,0.02254016433340982,0.09660917394450061
5,rf-tuned-xl,0.008368360937812036,0.09524970355164086
5,gb-tuned-l,0.0027283923600209814,0.0947140102831656
