round,model,r2_score,weight
1,rf-m,-0.12158122199726636,0.1111111111111111
1,rf-l,-0.10182102462707363,0.1111111111111111
1,gb-m,-0.29766522899535774,0.1111111111111111
1,gb-l,-0.2969989395193908,0.1111111111111111
1,knn-m,-0.046413259947568106,0.1111111111111111
1,knn-tuned,-0.046413259947568106,0.1111111111111111
1,svr-rbf,0.003226084136443874,0.1111111111111111
1,svr-poly,0.003226084136443874,0.1111111111111111
1,ridge,-0.11162608181560581,0.1111111111111111
1,rf-m,-0.12158122199726636,0.1111111111111111
1,rf-l,-0.10182102462707363,0.1111111111111111
1,gb-m,-0.29766522899535774,0.1111111111111111
1,gb-l,-0.2969989395193908,0.1111111111111111
1,knn-m,-0.046413259947568106,0.1111111111111111
1,knn-tuned,-0.046413259947568106,0.1111111111111111
1,svr-rbf,0.003226084136443874,0.1111111111111111
1,svr-poly,0.003226084136443874,0.1111111111111111
1,ridge,-0.11162608181560581,0.1111111111111111
1,rf-m,-0.12158122199726636,0.1111111111111111
1,rf-l,-0.10182102462707363,0.1111111111111111
1,gb-m,-0.29766522899535774,0.1111111111111111
1,gb-l,-0.2969989395193908,0.1111111111111111
1,knn-m,-0.046413259947568106,0.1111111111111111
1,knn-tuned,-0.046413259947568106,0.1111111111111111
1,svr-rbf,0.003226084136443874,0.1111111111111111
1,svr-poly,0.003226084136443874,0.1111111111111111
1,ridge,-0.11162608181560581,0.1111111111111111
2,rf-l,-0.2884465824112593,0.25
2,svr-rbf,-0.1391467644377558,0.25
2,svr-poly,-0.1391467644377558,0.25
2,ridge,-0.22572330722135742,0.25
2,rf-l,-0.2884465824112593,0.25
2,svr-rbf,-0.1391467644377558,0.25
2,svr-poly,-0.1391467644377558,0.25
2,ridge,-0.22572330722135742,0.25
3,rf-m,-0.056280784121943726,0.10423074274169797
3,rf-l,-0.05472273771758884,0.1043932656518907
3,gb-m,-0.09371107348515806,0.10040146837004438
3,gb-l,-0.09287470792614513,0.10048547582583779
3,xgb-m,-0.2854763533356948,0.08288147312126817
3,knn-m,-0.14920539852344483,0.0949815352872756
3,knn-tuned,-0.14920539852344483,0.0949815352872756
3,svr-rbf,-0.011923696298885811,0.10895818769814478
3,svr-poly,-0.011923696298885811,0.10895818769814478
3,ridge,-0.10044013908583431,0.09972812831842032
3,rf-m,-0.056280784121943726,0.10423074274169797
3,rf-l,-0.05472273771758884,0.1043932656518907
3,gb-m,-0.09371107348515806,0.10040146837004438
3,gb-l,-0.09287470792614513,0.10048547582583779
3,xgb-m,-0.2854763533356948,0.08288147312126817
3,knn-m,-0.14920539852344483,0.0949815352872756
3,knn-tuned,-0.14920539852344483,0.0949815352872756
3,svr-rbf,-0.011923696298885811,0.10895818769814478
3,svr-poly,-0.011923696298885811,0.10895818769814478
3,ridge,-0.10044013908583431,0.09972812831842032
4,rf-m,-0.17683750541110496,0.10733124000347004
4,rf-l,-0.14498493412526905,0.1108050471198225
4,gb-m,-0.1998371297826674,0.10489083359222937
4,gb-l,-0.20298937095819322,0.10456071297090944
4,knn-m,-0.2170239896886447,0.10310349291317478
4,knn-tuned,-0.2170239896886447,0.10310349291317478
4,svr-rbf,-0.04344304588386838,0.12264747864064157
