round,model,r2_score,weight
1,ridge,-0.18485693674116266,0.5
1,svr-rbf-s,-0.2818180432425849,0.5
1,ridge,-0.18485693674116266,0.5
1,svr-rbf-s,-0.2818180432425849,0.5
2,rf-m,-0.25417310886853284,0.2
2,rf-l,-0.28552078083140864,0.2
2,svr-rbf,-0.15510783039838436,0.2
2,svr-poly,-0.15510783039838436,0.2
2,ridge,-0.15391249417935074,0.2
2,rf-m,-0.25417310886853284,0.2
2,rf-l,-0.28552078083140864,0.2
2,svr-rbf,-0.15510783039838436,0.2
2,svr-poly,-0.15510783039838436,0.2
2,ridge,-0.15391249417935074,0.2
3,rf-m,-0.23406720209818274,0.2
3,rf-l,-0.2611377093446536,0.2
3,svr-rbf,-0.09918354678186733,0.2
3,svr-poly,-0.09918354678186733,0.2
3,ridge,-0.06203003812009249,0.2
3,rf-m,-0.23406720209818274,0.2
3,rf-l,-0.2611377093446536,0.2
3,svr-rbf,-0.09918354678186733,0.2
3,svr-poly,-0.09918354678186733,0.2
3,ridge,-0.06203003812009249,0.2
4,rf-m,-0.20787853877043055,0.14285714285714285
4,rf-l,-0.208480121005249,0.14285714285714285
4,knn-m,-0.1894860252067554,0.14285714285714285
4,knn-tuned,-0.1894860252067554,0.14285714285714285
4,svr-rbf,-0.07295637514317983,0.14285714285714285
4,svr-poly,-0.07295637514317983,0.14285714285714285
4,ridge,-0.038626096694456005,0.14285714285714285
4,rf-m,-0.20787853877043055,0.14285714285714285
4,rf-l,-0.208480121005249,0.14285714285714285
4,knn-m,-0.1894860252067554,0.14285714285714285
4,knn-tuned,-0.1894860252067554,0.14285714285714285
4,svr-rbf,-0.07295637514317983,0.14285714285714285
4,svr-poly,-0.07295637514317983,0.14285714285714285
4,ridge,-0.038626096694456005,0.14285714285714285
5,rf-m,-0.19332092741385742,0.1111111111111111
5,rf-l,-0.16749309103519355,0.1111111111111111
5,gb-m,-0.27543675933592776,0.1111111111111111
5,gb-l,-0.27082969297508236,0.1111111111111111
5,knn-m,-0.21928455983348188,0.1111111111111111
5,knn-tuned,-0.21928455983348188,0.1111111111111111
5,svr-rbf,-0.01859913713138688,0.1111111111111111
5,svr-poly,-0.01859913713138688,0.1111111111111111
5,ridge,-0.03323180315057617,0.1111111111111111
5,rf-m,-0.19332092741385742,0.1111111111111111
5,rf-l,-0.16749309103519355,0.1111111111111111
5,gb-m,-0.27543675933592776,0.1111111111111111
5,gb-l,-0.27082969297508236,0.1111111111111111
5,knn-m,-0.21928455983348188,0.1111111111111111
5,knn-tuned,-0.21928455983348188,0.1111111111111111
5,svr-rbf,-0.01859913713138688,0.1111111111111111
5,svr-poly,-0.01859913713138688,0.1111111111111111
5,ridge,-0.03323180315057617,0.1111111111111111
6,rf-m,-0.001928583272226625,0.1
6,rf-l,0.008883184093341745,0.1
6,gb-m,-0.08027129633400247,0.1
6,gb-l,-0.08926169274733464,0.1
6,xgb-m,-0.15144494488853305,0.1
6,knn-m,-0.09082002936480774,0.1
6,knn-tuned,-0.09082002936480774,0.1
6,svr-rbf,0.05528695026294592,0.1
6,svr-poly,0.05528695026294592,0.1
6,ridge,-0.05285970617194615,0.1
6,rf-m,-0.001928583272226625,0.1
6,rf-l,0.008883184093341745,0.1
6,gb-m,-0.08027129633400247,0.1
6,gb-l,-0.08926169274733464,0.1
6,xgb-m,-0.15144494488853305,0.1
6,knn-m,-0.09082002936480774,0.1
6,knn-tuned,-0.09082002936480774,0.1
6,svr-rbf,0.05528695026294592,0.1
6,svr-poly,0.05528695026294592,0.1
6,ridge,-0.05285970617194615,0.1
6,rf-m,-0.001928583272226625,0.1
6,rf-l,0.008883184093341745,0.1
6,gb-m,-0.08027129633400247,0.1
6,gb-l,-0.08926169274733464,0.1
6,xgb-m,-0.15144494488853305,0.1
6,knn-m,-0.09082002936480774,0.1
6,knn-tuned,-0.09082002936480774,0.1
6,svr-rbf,0.05528695026294592,0.1
6,svr-poly,0.05528695026294592,0.1
6,ridge,-0.05285970617194615,0.1
